Id,indegree
Mildred Couper,2
Transposition (Music),24
Die Walküre,5
Lydian Chromatic Concept Of Tonal Organization,3
Sound Mass,5
Verklärte Nacht,2
Lou Harrison,7
C-Major,24
Arrangement,8
"Don'T Think Twice, It'S All Right",4
19 Equal Temperament,17
String Instrument,6
Neo-Romanticism,9
Classical Music Era,4
Bass Effects,2
Whole Step,7
Music & Letters,8
Bohemian Rhapsody,4
Romeo And Juliet (Tchaikovsky),2
Musicologist,7
Béla Bartók,16
Minor Sixth Chord,2
Deux Arabesques,2
Prime Number,3
Minor Second,22
Walter Everett (Musicologist),4
Bebop,11
Synthetic Mode,11
Relative Minor,3
Serenade (Stravinsky),2
Enharmonic Keyboard,4
Ernst Kurth,4
Tone Cluster,98
Secondary Development,4
Bass Synthesizer,2
Added Tone Chord,96
Rock And Roll Music (Song),8
Symphony No. 5 (Beethoven),5
Secondary Leading-Tone Chord,9
Septimal Meantone Temperament,13
Augmented Unison,13
Heinrich Schenker,24
Portato,4
Jim Samson,5
The Musical Quarterly,3
Nikolai Rimsky-Korsakov,11
Common Practice Period,49
The New Yorker,3
Symmetric Scale,13
Franz Schreker,4
Tonic Note,2
Erik Bergman,5
Mode Of Limited Transposition,7
Jay And The Americans,7
Wanderer Fantasy,5
Well-Tempered Clavier,5
Jazz Harmony,17
Sonata Form,39
Harmonic Scale,20
Chord (Music),122
22 Equal Temperament,13
Irregular Resolution,14
Fuzz Bass,2
Earnest Andersson,2
On The Sensations Of Tone As A Physiological Basis For The Theory Of Music,3
Passamezzo Moderno,5
West Coast School,2
Counterpoint (Schenker),5
Counter-Melody,4
Funk,7
Erlkönig (Schubert),4
Renaissance Music,18
The Firebird,4
Trichord,9
Predominant Chord,17
French Sixth Chord,4
Classical Music,34
Ragtime Progression,11
Charleston (1923 Song),2
Western Culture,10
Le Freak,2
Jazz Piano,3
Persian Scale,10
Eight-Bar Blues,5
Polymodal Chromaticism,16
Alfred Hitchcock,2
Theodor W. Adorno,4
Double Stop,2
Resolution (Music),35
Dominant Seventh Flat Five Chord,93
Tui St. George Tucker,2
V–Iv–I Turnaround,5
B Minor,10
Unified Field,5
Bass Pedals,2
Easley Blackwood Jr.,4
The Nutcracker,4
Major And Minor,50
Symphonic Variations (Franck),2
Contrafact,9
Tablature,3
Bridge Chord,93
Mark Levine (Musician),4
Alex Ross (Music Critic),8
J.S.Bach,2
Experimental Music,11
Chromatic Mediant,94
Quarter-Comma Meantone,21
Musical Instrument,10
Keyboard Bass,2
Charles-Valentin Alkan,8
Jean Le Rond D'Alembert,2
Arabesques (Debussy),2
Arcangelo Corelli,6
Performing Arts,2
Sustain,2
Nicolas Slonimsky,6
William Sethares,2
Structure Implies Multiplicity,4
Stomp Progression,5
Waldstein Sonata,2
Eleventh Harmonic,2
Electric Piano,2
Frequency,8
G-Sharp Minor,8
Pythagorean Tuning,23
Major Sixth Chord,2
Merce Cunningham,2
Solfège,14
Major Interval,2
Music,50
Ave Maria (Stravinsky),2
Voice Leading,46
The Fairy'S Kiss,2
A-Flat Minor,8
Edward Lowinsky,2
Alexander John Ellis,8
Descending Melodic Minor,10
Upper Structure Triad,2
Autumn Leaves (1945 Song),3
Harmonic Major,12
Luigi Nono,2
Ernst Krenek,9
Don Juan (Strauss),2
Parallel Harmony,4
Henry Ward Poole,2
Siegfried Idyll,6
César Franck,14
Audio Frequency,5
Peter Van Der Merwe (Musicologist),4
Carl Schachter,7
Lattice (Music),2
Hexad (Music),2
Ground Bass,7
Sound,4
Piano Sonata No. 5 (Mozart),6
Octave Equivalence,3
Minor Ninth,6
The Musical Times,9
Glossary Of Jazz And Popular Music,8
Neo-Riemannian Theory,7
Ivan Wyschnegradsky,4
Picardy Third,7
Nikos Skalkottas,5
Julián Carrillo,4
Rudolph Reti,6
Roger Redgate,2
Chorale,10
Rhythm And Blues,15
Maurice Ravel,14
Maiden Voyage (Composition),5
String Section,6
Monad (Music),5
Natural Minor Scale,15
Circus Polka,2
Function (Music),46
Diatonic Scale,71
Giacomo Puccini,8
Formula Composition,7
R&B,5
Film Score,8
E (Musical Note),4
Coco Chanel & Igor Stravinsky,2
A12 Scale,10
Octet (Stravinsky),3
Musical Mode,11
Dream Chord,92
Interval Cycle,6
Roman Numeral Analysis,37
Bossa Nova,4
Trope (Music),5
The New Grove Dictionary Of Music And Musicians,19
Turkish Makam,10
Beat (Acoustics),9
Stem (Music),2
Royal Road Progression,5
Wild Cherry (Band),2
Major Seventh Chord,100
Charles Koechlin,6
Hard Rock,5
Chamber Symphony No. 1,2
Closely Related Key,12
Concerto For Piano And Wind Instruments (Stravinsky),3
Robert Palmer (American Writer),3
Free Jazz,2
Integer,3
Total Chromatic,2
Chopin,9
Friedrich Wilhelm Marpurg,3
Sergei Diaghilev,4
Piano Sonata No. 6 (Scriabin),2
Improvisation (Music),2
Neotonality,26
Authentic Cadence,4
Leading-Tone,112
Jacob Collier,2
Electroacoustic Improvisation,6
Aram Khachaturian,2
Harry Partch,14
Major Third,55
Klavierstücke (Stockhausen),2
Schubert,8
Omnibus Progression,5
Minor-Major Seventh Chord,95
Voicing (Music),28
Ludwig Van Beethoven,34
Hard Bop,3
Complement (Music),39
Haydn,6
Third (Chord),37
Stochastic,5
B Major,9
Modulatory Space,2
Messiah (Handel),3
Les Noces,2
Motif (Music),13
Valse Des Fleurs (Stravinsky),2
Charles Wuorinen,4
Pitch-Class,54
Richard Strauss,15
Roger Scruton,6
Brian Ferneyhough,2
Contrary Motion,4
Macmillan Publishers,9
Modest Mussorgsky,10
Guitarrón Mexicano,3
Staff Notation,6
E-Flat Minor,10
C (Musical Note),7
Traditional Music,8
Krzysztof Penderecki,3
Motive (Music),3
Perspectives Of New Music,22
Pelog,22
Jam Session,6
Ptolemy,3
Turnaround (Music),17
Parallel Key,37
Just Major Third,3
Heinrich Schütz,8
Substitute Dominant,6
Oxford University Press,25
Viola,14
Lydian Dominant Scale,4
Harp,10
Harmonic Major Scale,12
András Schiff,3
17 Equal Temperament,21
Dave Brubeck,3
Root (Chord),81
Zentralfriedhof,3
Viol,5
Magic Chord,92
Paul Dukas,4
G-Sharp Major,7
Accordion,2
Nicholas Cook,3
Johann David Heinichen,2
University Of Chicago Press,6
Götterdämmerung,9
Avoid-Note,10
Harmony (Music),5
Bjørn Fongaard,2
Otonality And Utonality,40
Lccn (Identifier),2
Bach Chorale,3
Has Anybody Seen My Gal? (Song),4
Theoretical Key,14
Antonio Vivaldi,7
Slash Chord,93
Josef Matthias Hauer,5
Seventh (Interval),2
Frank Zappa,6
Preludes (Chopin),8
Beta Scale,21
New Complexity,5
Felix Mendelssohn,13
Chord Inversion,4
Alexander Von Zemlinsky,5
Vincent Persichetti,6
Synthetic Scale,12
German Sixth,2
Steely Dan,3
Fundamental Bass,2
D Major,12
B-Flat Minor,9
Alpha Scale,22
Pelléas Et Mélisande (Opera),4
Dorian Mode,22
Symphony In Three Movements,4
George Antheil,5
Joe Maneri,2
Apollo (Ballet),2
Heinrich Ignaz Franz Biber,5
Anton Bruckner,17
Pedal Point,11
Regular Diatonic Tuning,10
Altered Dominant Seventh Chord,2
Bebop Scale,15
Pulcinella (Ballet),2
Music Theorist,2
Diatonic,14
Obligatory Register,3
Symphony No. 9 (Beethoven),7
Gregorian Mode,10
Youtube Video (Identifier),24
41 Equal Temperament,11
Denominator,2
C Minor,14
Werner Reinhart,3
New Objectivity,5
Joseph Haydn,15
Tremolo,9
Andrew Surmani,3
Hypophrygian Mode,10
Diminished Fifth,24
Ionian Mode,11
Pribaoutki,2
Fundamental Structure,4
Drum Kit,2
Dominant Seventh Chord,109
Chord Letters,6
Melodic Pattern,9
The Temperance Seven,2
Bass Chorus,2
Guitar Tuning,4
Retrograde Inversion,4
Appoggiatura,12
Tuba,5
Secondary Chord,107
Whole-Tone Scale,32
Ode (Stravinsky),2
Wassily Kandinsky,2
Passamezzo Antico,5
Tritonic Scale,11
Numerator,2
Wayback Machine,39
Étude For Pianola,2
Epitaphium (Stravinsky),2
Music Analysis,4
Howard Hanson,4
Historically Informed Performance,9
Carl Philipp Emanuel Bach,8
Musica Ficta,5
Seven Six Chord,92
Acoustic Bass Guitar,2
Bebop Blues,4
Sechs Kleine Klavierstücke,2
Paul Mccartney,8
Heinz Bohlen,2
Tertian,94
Multiplicative Inverse,2
Claude V. Palisca,5
Semitone,66
Musical Tone,6
Reduction (Music),5
Sonata Theory,2
Secondary Supertonic,92
Hammond Organ,9
Harpsichord,10
Beatles,4
Blues Scale,15
Wozzeck,3
12-Tone Equal Temperament,7
Ii-V-I Turnaround,4
Ninth Chord,95
Harmonic,12
Treatise On Harmony,4
Trope (Literature),2
Non-Octave-Repeating Scale,2
Charles Ferdinand Ramuz,2
"Concerto In E-Flat ""Dumbarton Oaks""",2
The Owl And The Pussy Cat (Stravinsky),2
Claude Vivier,2
Pentatonic Scale,18
Bass Drum,2
"Mazurkas, Op. 68 (Chopin)",3
C-Sharp Minor,10
Secondary Dominant,98
Lorenz Mizler,2
Montgomery-Ward Bridge,6
Half Cadence,4
Figured Bass,38
Orchestra,17
Passacaglia,7
Country Music,13
Pitch Space,5
Journal Of Music Theory,6
Donald Jay Grout,6
Shí-Èr-Lǜ,10
Elektra Chord,94
Barbershop Seventh Chord,6
Vienna,4
Canon On A Russian Popular Tune,2
Harmonic Parallelism,2
Stravinsky (Crater),2
Jazz Improvisation,7
Diminished Sixth,12
David Cope,3
Danses Concertantes (Stravinsky),2
Cuthbert Girdlestone,2
Modern Classical Music,6
Factor (Chord),97
Limit (Music),22
Hypodorian Mode,10
Melodic Minor Scale,7
Charlie Parker,4
Dmitri Tymoczko,8
Genesis Of A Music,8
Low-Frequency Effects,2
Undertone Series,6
Locrian Mode,13
Mode Mixture,2
Scale (Music),31
Subject (Music),5
23 Equal Temperament,11
Musical Analysis,19
Diatonic Functionality,6
Giorgio Moroder,2
Symphony No. 7 (Mahler),5
Chord (Disambiguation),2
Approach Chord,95
Aeolian Dominant Scale,10
Neapolitan Chord,94
Equal Temperament,37
German Sixth Chord,2
English Suites (Bach),5
Peter Westergaard'S Tonal Theory,2
Ledger Line,2
Savart,20
Théodore Strawinsky,2
F-Sharp Minor,8
All-Interval Tetrachord,7
Post-Romanticism,18
George Perle,9
Boogie Nights (Song),2
André Jolivet,5
Natural Minor,12
Polytonality,33
Three Quarter Flat,2
Alberti Bass,7
Nikolay Diletsky,2
Miles Davis,12
Cadence (Music),21
Giovanni Battista Pergolesi,4
Thelonious Monk,4
Aaron Copland,8
Punk Rock,8
Harmonization,9
Johannes Brahms,24
Robert Schumann,22
Common Tone (Chord),11
Monophony,4
Requiem Canticles,2
Diminution,19
Level (Music),2
Irving Fine,2
Das Rheingold,5
Chord Names And Symbols (Jazz And Pop Music),5
Hexachord,10
Scherzo No. 1 (Chopin),2
Radiohead,4
Noise,2
George Balanchine,4
Romanian Major Scale,10
Octave,49
Second Viennese School,14
Bassline,11
Primary Triad,93
John Stainer,2
Equal Tempered,3
Witold Lutosławski,2
Sonata For Two Pianos (Stravinsky),2
Ritornello,4
Simon Sechter,6
Xylophone,4
Common-Chord (Music),81
Augmentation (Music),15
Riemannian Theory,9
Bass (Sound),3
Renard (Stravinsky),2
Texture (Music),5
Octachord,2
Journal Of The American Musicological Society,5
Dynamic Tonality,7
Martha Graham,2
Ptolemy'S Intense Diatonic Scale,20
Register Transfer,3
Ennead (Music),2
Flamenco,2
Three-Quarter Sharp,2
Fake Book,6
Major Scale,50
Chromatic Hexachord,3
Irène Deliège,2
Musical Temperament,17
Guitar Picking,2
Dusty Springfield,3
Pythagoras,4
Adriaan Fokker,2
Interval (Music),70
Easy Living (Song),4
Leitmotif,11
Theme (Music),6
Nature (Journal),3
Bass (Voice Type),7
Chromatic Fantasia,13
Polyphony,9
Syntonic Comma,18
Scale-Step,5
Chord Notation,6
Music Analysis (Journal),5
Ricercar,6
Gottfried Weber,2
German Language,5
Pythagorean Comma,16
S2Cid (Identifier),15
Twelve Microtonal Etudes For Electronic Music Media,2
Fill (Music),2
Beethoven,20
A-Flat Major,11
Pastorale (Stravinsky),2
Reciting Tone,14
Herbie Hancock,6
Well Temperament,15
Les Cinq Doigts,2
Root-Position,19
Leonid Sabaneyev,2
Yekaterina Stravinsky,2
Sub-Bass,2
Strings (Music),2
Algerian Scale,10
Alteration (Disambiguation),2
Time Point,4
Comping (Jazz),12
Church Modes,2
Henri Pousseur,6
Romantic Period,2
Betty Everett,4
Second Inversion,15
Diatonic Harmony,3
Suite For Microtonal Piano,2
Elisabeth Mann-Borgese,3
Chord Rewrite Rules,5
Just Minor Third,4
Style Brisé,4
Pachelbel'S Canon,7
Funkytown,2
Neapolitan Scale,11
Acoustic Guitar,6
Jim Hall (Musician),3
Changing Tones,4
John Fonville,9
Jazz,59
Sic,4
Minor Seventh Chord,100
Close And Open Harmony,6
Stephen Sondheim,2
Elliott Carter,7
Thirteenth Chord,9
Chuck Berry,11
Arthur Berger (Composer),5
Bell (Wind),2
Psalms Chord,92
Kirnberger Temperament,11
Bohlen–Pierce Scale,22
Diminished Triad,109
Neoclassicism (Music),7
Duration Series,4
Bill Evans,5
Scherzo Fantastique,3
Pitch Constellation,2
Edgard Varèse,6
The Well-Tuned Piano,2
Star Polygon,2
Salome (Opera),5
Hugo Riemann,20
Robert Fripp,5
Tone Clock,4
Mystic Chord,94
Burt Bacharach,6
Transposing Instrument,10
D-Flat Minor,7
Harmony (Schenker),3
Drop-D Tuning,2
Note (Music),12
Viennese Trichord,93
Augmented Fifth,22
Wind Quintet (Schoenberg),2
Video Game Music,5
E Minor,11
Musical Argument,6
Harmonic Analysis (Music),3
Bass Saxophone,2
Ratio,6
Five Pieces For Orchestra,2
E Major,13
Whole Tone,13
31 Equal Temperament,15
Heavy Metal Music,12
Accompaniment,9
Stanley Sadie,27
Developmental Science,2
Leonard Bernstein,9
Unfolding (Music),3
Progressive Tonality,25
Wilfrid Mellers,2
Prentice Hall,3
Franklin Cox,2
Sevish,2
"Prelude And Fugue In C Major, Bwv 846",3
Transition From Renaissance To Baroque In Instrumental Music,8
Walking Bass,2
Euphonium,2
Homotonal,8
Sharp (Music),16
The Spectator,3
Fugue,11
Lydian Chord,92
Aldo Clementi,2
Chamber Music,13
7-Limit Tuning,20
Septimal Minor Third,19
Carlos Chávez,3
Hendrix Chord,3
Harmonic Minor Scale,25
12Tet,3
Augmented Seventh Chord,92
Werckmeister Temperament,11
Clarendon Press,2
Flamenco Mode,10
Lydian Mode,13
Sixth Chord,92
Diminished Fourth,14
Jimi Hendrix,8
Klangfarbenmelodie,5
Andalusian Cadence,5
Sequence (Music),12
Der Ring Des Nibelungen,8
Surrealist Music,5
A Hard Day'S Night (Song),5
Dastgah,13
Tonic Key,2
Barbershop Music,8
Art Tatum,2
Electric Bass,2
Johann Sebastian Bach,33
Upper Structure,94
Nadia Boulanger,4
Fifth (Interval),2
Oriental Mode,10
Partimento,2
Pipe Organ,9
Jazz Standard,6
Stringed Instrument,2
Sonido 13,2
Columbia University,4
Diatonic Genus,2
Dido And Aeneas,6
Concerto In D (Stravinsky),2
Consecutive Fifths,6
Les Six,2
J.S. Bach,7
Passing Note,3
Enharmonically Equivalent,6
Tonal Center,2
Blues Progression,3
Classical Period (Music),30
Petrushka (Ballet),4
Reaching Over,3
Tango (Stravinsky),2
Octobass,3
Prelude (Music),5
Passing Chord,94
Popular Music,42
Simon & Schuster,4
Huygens-Fokker Foundation,2
Prometheus: The Poem Of Fire,3
Modal Jazz,5
Chromatic Scale,34
Ross Lee Finney,3
Wolf Fifth,5
Dominant Function,11
Vallotti Temperament,10
Minor Third,47
Timpani,9
Gamelan,6
Luigi Cherubini,8
Pedal Keyboard,2
William Duckworth (Composer),3
French Horn,6
Diatonic And Chromatic,99
Jazz Bass,5
Pitch Interval,4
Babel (Stravinsky),2
Yuri Landman,2
Pitch (Music),37
European Classical Music,2
Prolongation,6
Miracle Temperament,12
All-Interval Twelve-Tone Row,96
Permutation,3
Dominant Thirteenth Chord,2
Unfigured Bass,2
Ebony Concerto (Stravinsky),2
Accidental (Music),16
Slapping (Music),3
Keyboard Instrument,9
Degree Symbol,2
Petrushka Chord,95
Bell Effect,2
Monotonic Scale,10
Hierarchy,3
Metre (Music),4
Jazz Chord,14
Passing Tone,3
Baroque,7
Cadential Six-Four,3
Interval Number,2
Beat (Music),4
Anton Webern,12
Claude-Bénigne Balbastre,2
Euler–Fokker Genus,10
Iv△7–V7–Iii7–Vi Progression,5
Half Diminished Chord,4
Roman Numeral,4
Compound Interval,3
Electric Guitar,9
Triad (Music),109
World War I,4
Christiaan Huygens,2
Cadence,42
Tannhäuser (Opera),6
Decad (Music),2
Common Practice,3
Outline Of Guitars,2
Five Easy Pieces (Stravinsky),2
12 Equal Temperament,13
An Alpine Symphony,2
Interval Ratio,12
Music Ensemble,2
Octave Equivalency,2
Common Tone (Scale),9
Neapolitan School,2
Identity (Tuning),2
Dyad (Music),8
Diminished Third,17
Folia,2
Max Reger,11
Sonata For Microtonal Piano (Ben Johnston),2
Minor Sixth,20
Ferruccio Busoni,11
"Music For Strings, Percussion And Celesta",2
Sonny Rollins,2
Part (Music),10
F Major,15
Ascending Melodic Minor,10
Altered Dominant,3
Michael Haydn,3
Dance,2
Scheherazade (Rimsky-Korsakov),3
Chromatic Fourth,12
Contrabassoon,2
Guitarist,5
Pyramid Chord,92
"Fantasia In C Minor, K. 475",6
Phrygian Dominant Scale,13
Staff (Music),8
Consonance And Dissonance,73
It'S My Party (Lesley Gore Song),4
J. S. Bach,13
Mccoy Tyner,3
Phrase (Music),13
Computer Music Journal,3
Rhythm,13
Drone (Music),6
Baroque Music,40
Milton Babbitt,7
15 Equal Temperament,12
Secondary Leading-Tone,92
Capriccio For Piano And Orchestra,2
Juilliard,3
Contemporary Classical Music,7
Harmonica,5
Chord Substitution,95
George Russell (Composer),3
Tetratonic Scale,10
Joseph Schillinger,3
Journal Of The Royal Musical Association,2
Inversion (Music),20
Altered Scale,13
Anhemitonic Scale,5
Jazz Fusion,7
George Gershwin,7
Play That Funky Music,2
Parsifal,7
John Williams,3
Septimal Major Second,3
François-Joseph Fétis,12
Paul Cooper (Composer),2
Jam Band,8
The Jazz Piano Book,2
Power Chord,97
Chordal Space,3
All-Trichord Hexachord,9
Three Pieces For String Quartet,2
Tarantella (Stravinsky),2
Tonality Flux,11
Futurism (Music),5
Johannes Kepler,2
Natural (Music),5
Dominant Ninth,3
French Sixth,5
F Minor,10
Because (Beatles Song),3
Chord Progression,38
Charles Ives,11
Violin Concerto (Stravinsky),2
Quartal Harmony,3
Alberto Ginastera,3
Musical Acoustics,6
Theorbo,4
Scale Of Harmonics,20
Quartal And Quintal Harmony,98
Chick Corea,4
Polyphonic,3
Acoustic Scale,13
Oasis (Band),10
Cambiata,4
Robert Morris (Composer),2
King Gizzard & The Lizard Wizard,4
Tetrad (Music),93
Secondary Triad,4
Ralph Patt,2
She Loves You,4
Eleventh,22
Horace Silver,2
Subwoofer,2
Wolfgang Amadeus Mozart,27
Monday Evening Concerts,2
Jazz Guitar,4
Seventh (Chord),29
Interval Vector,4
Dissonant Counterpoint,5
So What (Composition),2
Don Giovanni,6
Musical Tuning,45
Vi–Ii–V–I,7
Scherzo À La Russe (Stravinsky),2
Gregorian Chant,6
Oclc (Identifier),56
Musical Composition,16
Musical Scale,11
Enharmonic,38
Henry Cowell,9
Slash Notation,4
The Marriage Of Figaro,2
Quadrangularis Reversum,2
Gustav Mahler,19
Mussorgsky,2
Stravinsky Fountain,2
I'D Like To Teach The World To Sing,4
Xenharmonic Music,2
Philip Ewell,2
Richard Swift (Composer),3
Heptatonic Scale,12
Sixteen-Bar Blues,5
Stravinsky,8
Inverted Chord,18
Double Bass,14
Structural Level,3
Romantic Period (Music),6
Major Sixth,29
University Of Music And Performing Arts Vienna,4
Dmitri Shostakovich,5
Wes Montgomery,3
Septimal Major Third,15
The Song Of The Nightingale,2
Lydian Augmented Scale,11
I Got Rhythm,4
Tonal Music,4
Martin Eybl,2
Ian Bent,4
Septimal Quarter Tone,16
Three-Chord Song,6
Bass Trombone,2
Vera Sudeikina,2
Tristan Chord,97
Guitar,10
Ernest Ansermet,2
Perséphone (Stravinsky),2
I–V–Vi–Iv Progression,5
Renaissance,6
Contrapuntal,4
Enharmonic Equivalence,7
Twelve-Tone Equal Temperament,5
♭Vii–V7 Cadence,5
Baroque Guitar,4
Tetrachord,26
Tonicization,34
Overtone,10
Retrograde (Music),4
5-Limit,4
Octoechos,10
Three Easy Pieces (Stravinsky),2
Kind Of Blue,4
Process Music,5
Henry Purcell,9
Pandiatonicism,5
False Relation,15
Cyclic Set,4
Banjo Roll,6
Blues,13
String Sextet,2
Arabic Maqam,14
Piano Sonata (Stravinsky),2
Free Composition,5
Intonation (Music),4
G Major,13
Arthur Lourié,2
Bass Note,22
G-Flat Major,8
Bass Violin,2
Figure (Music),6
Simultaneity (Music),7
Pierre Boulez,5
Big Band,6
George Benson,4
History Of Music,5
Canon (Music),10
Wagner,12
Cycle Of Fifths,3
Progressive Rock,8
Octad (Music),2
First Inversion,24
Abraham And Isaac (Stravinsky),2
Volga Star,2
Common-Tone Diminished Seventh Chord,5
Neighbor Note,3
Wolf Interval,16
Violone,5
La Cathédrale Engloutie,2
Tonality,61
Leading Note,3
Harmonic Seventh Chord,93
The Soldier'S Tale,2
Georg Joseph Vogler,2
Quarter-Tone,25
Twelve-Tone Technique,18
Microtonal Music,28
Concerto For Two Pianos (Stravinsky),2
Piano Sonata No. 10 (Beethoven),4
Chromatic Circle,5
Altered Tone,2
Franz Liszt,24
Timbre,15
Edward Aldwell,6
Outside (Jazz),7
Pit Orchestra,2
Borrowed Chord,95
Electronic Tuner,7
Harmonic Rhythm,6
Aeolian Mode,16
Synthetic Chord,92
Phrygian Mode,18
5-Limit Tuning,7
Debussy,5
Ukrainian Dorian Scale,10
Obbligato,4
Random House,2
Nonachord,2
Variation (Music),11
Prélude À L'Après-Midi D'Un Faune,3
Fifth (Chord),29
Élégie (Stravinsky),2
Augmented Third,12
The Police,5
Music Theory,83
Block Chord,99
Trad Jazz,2
Hans Keller,3
Enigmatic Scale,10
William Schuman,2
D-Sharp Minor,8
Alban Berg,14
John Tyrrell (Musicologist),20
Fokker Periodicity Block,2
Bass Amplifier,3
Hypoionian Mode,10
Ivor Darreg,2
Terzschritt,23
Ton De Leeuw,4
Alessandro Marcello,2
Degree (Music),50
Perfect Unison,4
Cello,14
Augmented Chord,7
Chord Chart,7
Voice Exchange,3
Post-Tonal Music Theory,5
Symphony In C (Stravinsky),2
Lydian Dominant,3
Hermann Von Helmholtz,16
Bar-Line Shift,9
Virginals,3
"""Ode-To-Napoleon"" Hexachord",4
Duke Ellington,3
Youtube,10
Claudio Monteverdi,11
Utonality,2
B (Musical Note),4
John Mehegan,2
Henry Mancini,5
Issn (Identifier),26
Hungarian Major Scale,10
Key Signature,23
Stravinsky Inlet,2
Tadd Dameron Turnaround,9
The Flood (Stravinsky),2
Fret,3
Georg Philipp Telemann,4
Piano Sonata No. 3 (Beethoven),2
Extended Chord,97
Electronic Music,10
Set (Music),11
Schenkerian Analysis,33
Arabic Numeral,3
Diesis,14
Duo Concertant,2
Eagles (Band),4
Musical Form,8
Quarter Tone Scale,11
Groove (Music),11
Major Chord,108
Fingering (Music),5
Music Of Mesopotamia,3
Improvised Music,2
Major Key,10
C-Flat Major,8
Alois Hába,8
Hector Berlioz,16
Embouchure,3
Karlheinz Stockhausen,6
Hdl (Identifier),6
Octatonic Scale,105
Variations For Piano (Webern),2
Suspension (Music),10
Lied,9
Baba O'Riley,2
Boléro,2
Absolute Pitch,6
John Eliot Gardiner,9
Subdominant,108
Half-Diminished Seventh Chord,100
Joni Mitchell,5
Odentity And Udentity,2
Double Canon (Stravinsky),2
Polychord,94
Harmony,54
Call And Response (Music),10
Augmented Triad,100
Kyle Gann,5
Final (Music),2
Diether De La Motte,3
Lead Sheet,14
The Sleeping Beauty (Ballet),2
Sweet Georgia Brown,4
A-Sharp Minor,7
The Rolling Stones,10
"A Sermon, A Narrative, And A Prayer",2
Young Temperament,11
Key Signature Names And Translations,7
Schismatic Temperament,12
Pink Floyd,5
Amazon Standard Identification Number,3
Spiral Array Model,2
Guitar Amplifier,3
Violin Concerto (Berg),3
Double Tonic,7
Cantata (Stravinsky),2
Backup Band,4
Paul Hindemith,11
King Crimson,6
Harvard University Press,4
Chromaticism,30
Tonal Centre,3
Noise Music,6
Guillaume De Machaut,2
Minor Triad,21
12-Bar Blues,3
Nashville Number System,7
Dominant Seventh Sharp Ninth Chord,92
Three Pieces For Solo Clarinet,2
Septimal Major Sixth,3
Augmented Sixth Chord,98
Wavelength,2
Cambridge Companions To Music,10
Red (King Crimson Album),3
Staccato,5
Slendro,21
Heitor Villa-Lobos,7
Mavra,2
Pentachord,10
Spectral Music,7
Multiplication (Music),7
D (Musical Note),4
Guitar Chord,93
Constant Structure,12
Fanfare For A New Theatre,2
Bluebird Pas De Deux (Stravinsky),2
Melodic Motion,4
